iter	Passed	Remaining
555	11009	8791
556	11027	8770
557	11045	8749
558	11063	8728
559	11081	8706
560	11098	8684
561	11116	8663
562	11136	8644
563	11162	8628
564	11182	8609
565	11202	8590
566	11222	8570
567	11241	8549
568	11260	8529
569	11278	8508
570	11300	8490
571	11319	8470
572	11343	8452
573	11365	8435
574	11384	8414
575	11405	8395
576	11424	8375
577	11443	8355
578	11462	8334
579	11481	8314
580	11499	8293
581	11517	8272
582	11535	8251
583	11558	8233
584	11582	8216
585	11599	8194
586	11617	8173
587	11634	8152
588	11657	8134
589	11674	8112
590	11691	8091
591	11709	8069
592	11727	8049
593	11744	8027
594	11762	8006
595	11785	7988
596	11805	7969
597	11824	7949
598	11843	7928
599	11862	7908
600	11882	7888
601	11901	7868
602	11919	7847
603	11938	7827
604	11956	7806
605	11979	7788
606	12003	7771
607	12021	7750
608	12040	7730
609	12057	7708
610	12075	7688
611	12092	7666
612	12109	7645
613	12128	7624
614	12146	7603
615	12163	7582
616	12181	7561
617	12199	7540
618	12223	7523
619	12241	7503
620	12261	7483
621	12285	7465
622	12303	7445
623	12322	7424
624	12340	7404
625	12358	7383
626	12377	7363
627	12396	7343
628	12424	7328
629	12445	7309
630	12464	7289
631	12482	7268
632	12501	7247
633	12518	7226
634	12535	7205
635	12554	7185
636	12572	7164
637	12590	7144
638	12611	7125
639	12636	7107
640	12657	7088
641	12676	7068
642	12697	7049
643	12716	7029
644	12735	7009
645	12754	6989
646	12771	6968
647	12790	6947
648	12809	6927
649	12832	6909
650	12855	6892
651	12874	6871
652	12896	6852
653	12914	6832
654	12932	6811
655	12950	6791
656	12968	6770
657	12986	6749
658	13006	6730
659	13024	6709
660	13047	6691
661	13071	6674
662	13090	6653
663	13109	6633
664	13128	6613
665	13146	6593
666	13165	6573
667	13183	6552
668	13202	6532
669	13221	6512
670	13240	6491
671	13261	6473
672	13286	6455
673	13305	6435
674	13326	6416
675	13345	6396
676	13364	6376
677	13382	6355
678	13401	6335
679	13419	6315
680	13439	6295
681	13458	6275
682	13482	6257
683	13503	6238
684	13521	6217
685	13542	6198
686	13560	6178
687	13578	6157
688	13596	6137
689	13615	6116
690	13634	6096
691	13652	6076
692	13672	6057
693	13693	6037
694	13729	6025
695	13748	6005
696	13775	5988
697	13792	5967
698	13811	5947
699	13829	5927
700	13848	5906
701	13867	5886
702	13885	5866
703	13909	5848
704	13928	5828
705	13952	5810
706	13977	5792
707	13995	5772
708	14015	5752
709	14033	5731
710	14050	5711
711	14070	5691
712	14088	5670
713	14106	5650
714	14131	5632
715	14155	5614
716	14175	5595
717	14195	5575
718	14214	5555
719	14232	5534
720	14250	5514
721	14271	5495
722	14289	5474
723	14307	5454
724	14325	5433
725	14346	5414
726	14369	5396
727	14389	5376
728	14409	5356
729	14427	5336
730	14447	5316
731	14467	5296
732	14485	5276
733	14504	5256
734	14524	5236
735	14556	5221
736	14582	5203
737	14606	5185
738	14628	5166
739	14651	5147
740	14675	5129
741	14694	5109
742	14716	5090
743	14736	5070
744	14756	5050
745	14782	5033
746	14800	5012
747	14818	4992
748	14838	4972
749	14859	4953
750	14877	4932
751	14896	4912
752	14914	4892
753	14933	4872
754	14952	4852
755	14981	4835
756	15001	4815
757	15022	4795
758	15041	4775
759	15059	4755
760	15078	4735
761	15098	4715
762	15118	4696
763	15137	4675
764	15156	4655
765	15174	4635
766	15201	4617
767	15223	4598
768	15246	4579
769	15267	4560
770	15286	4540
771	15304	4519
772	15321	4499
773	15339	4479
774	15357	4458
775	15376	4438
776	15395	4418
777	15416	4399
778	15439	4380
779	15460	4360
780	15479	4340
781	15497	4320
782	15516	4300
783	15534	4279
784	15553	4259
785	15570	4239
786	15589	4219
787	15606	4198
788	15637	4181
789	15657	4162
790	15677	4142
791	15697	4122
792	15715	4102
793	15734	4082
794	15756	4063
795	15779	4044
796	15821	4029
797	15853	4013
798	15883	3995
799	15900	3975
800	15919	3954
801	15937	3934
802	15955	3914
803	15974	3894
804	15993	3874
805	16011	3853
806	16030	3833
807	16049	3813
808	16069	3793
809	16095	3775
810	16114	3755
811	16135	3735
812	16153	3715
813	16170	3695
814	16188	3674
815	16207	3654
816	16225	3634
817	16245	3614
818	16264	3594
819	16285	3574
820	16309	3555
821	16328	3535
822	16348	3516
823	16366	3495
824	16385	3475
825	16403	3455
826	16421	3435
827	16439	3415
828	16458	3394
829	16476	3374
830	16496	3354
831	16522	3336
832	16541	3316
833	16561	3296
834	16579	3276
835	16597	3255
836	16620	3236
837	16638	3216
838	16656	3196
839	16674	3176
840	16693	3156
841	16714	3136
842	16737	3117
843	16757	3097
844	16777	3077
845	16796	3057
846	16816	3037
847	16834	3017
848	16853	2997
849	16874	2977
850	16898	2958
851	16932	2941
852	16965	2923
853	16994	2905
854	17015	2885
855	17035	2865
856	17055	2845
857	17075	2825
858	17095	2806
859	17116	2786
860	17138	2766
861	17163	2747
862	17185	2728
863	17205	2708
864	17226	2688
865	17246	2668
866	17268	2649
867	17289	2629
868	17309	2609
869	17329	2589
870	17354	2570
871	17379	2551
872	17400	2531
873	17421	2511
874	17443	2491
875	17463	2471
876	17482	2451
877	17501	2431
878	17520	2411
879	17539	2391
880	17561	2372
881	17585	2352
882	17605	2332
883	17628	2313
884	17649	2293
885	17668	2273
886	17688	2253
887	17709	2233
888	17729	2213
889	17748	2193
890	17770	2173
891	17800	2155
892	17821	2135
893	17843	2115
894	17863	2095
895	17883	2075
896	17904	2055
897	17923	2035
898	17943	2015
899	17962	1995
900	17983	1976
901	18009	1956
902	18028	1936
903	18048	1916
904	18068	1896
905	18086	1876
906	18105	1856
907	18125	1836
908	18146	1816
909	18166	1796
910	18188	1776
911	18212	1757
912	18238	1737
913	18264	1718
914	18286	1698
915	18306	1678
916	18326	1658
917	18345	1638
918	18364	1618
919	18384	1598
920	18411	1579
921	18433	1559
922	18457	1539
923	18479	1519
924	18498	1499
925	18518	1479
926	18537	1459
927	18558	1439
928	18577	1419
929	18597	1399
930	18624	1380
931	18651	1360
932	18671	1340
933	18693	1320
934	18719	1301
935	18745	1281
936	18771	1262
937	18792	1242
938	18813	1222
939	18843	1202
940	18864	1182
941	18885	1162
942	18906	1142
943	18925	1122
944	18944	1102
945	18963	1082
946	18982	1062
947	19002	1042
948	19023	1022
949	19045	1002
950	19071	982
951	19092	962
952	19115	942
953	19135	922
954	19155	902
955	19175	882
956	19196	862
957	19216	842
958	19235	822
959	19259	802
960	19289	782
961	19309	762
962	19330	742
963	19349	722
964	19368	702
965	19387	682
966	19407	662
967	19428	642
968	19448	622
969	19470	602
970	19496	582
971	19518	562
972	19538	542
973	19561	522
974	19581	502
975	19601	482
976	19620	461
977	19640	441
978	19660	421
979	19692	401
980	19712	381
981	19733	361
982	19755	341
983	19776	321
984	19795	301
985	19815	281
986	19835	261
987	19854	241
988	19874	221
989	19893	200
990	19917	180
991	19941	160
992	19963	140
993	19984	120
994	20004	100
995	20026	80
996	20047	60
997	20067	40
998	20088	20
999	20113	0
