iter	TotalF1	MultiClass
428	0.9595594611	0.1461783659
429	0.9595594611	0.1461198737
430	0.9595594611	0.1460111309
431	0.9595594611	0.1457693302
432	0.9595594611	0.1457178171
433	0.9596706112	0.1456494461
434	0.9596706112	0.1454768725
435	0.9596706112	0.1452967263
436	0.9596706112	0.1450878056
437	0.9596706112	0.1450133399
438	0.9597821051	0.1448963699
439	0.9597821051	0.144801312
440	0.9597821051	0.1445704398
441	0.9597821051	0.1441655288
442	0.9597821051	0.1440685765
443	0.9597821051	0.1439683847
444	0.9598925184	0.1438560629
445	0.9598925184	0.1437984898
446	0.9598935666	0.1436337356
447	0.9600046087	0.1435508793
448	0.9600046087	0.1434746385
449	0.9600046087	0.1434367206
450	0.960114999	0.1433408085
451	0.960114999	0.1432234373
452	0.9600039561	0.1431395611
453	0.9600039561	0.1430784629
454	0.960114999	0.1428559022
455	0.960114999	0.142698077
456	0.960114999	0.142597205
457	0.9603362884	0.1423258928
458	0.9604470629	0.1421781913
459	0.9604470629	0.1420244263
460	0.9604470629	0.1419147801
461	0.9604470629	0.1417808716
462	0.9606680567	0.1416427267
463	0.9606680567	0.1415814851
464	0.9606680567	0.1415364149
465	0.9606688841	0.1414485176
466	0.9605576882	0.14131599
467	0.9605576882	0.1411839813
468	0.9606675109	0.1410046449
469	0.960890119	0.1408300385
470	0.96088953	0.1407332539
471	0.96088953	0.1406741631
472	0.9610009423	0.1405522549
473	0.9611120219	0.1404615878
474	0.9611120219	0.1403572768
475	0.9611120219	0.140291445
476	0.9611120219	0.140208533
477	0.9611120219	0.1401185018
478	0.9611120219	0.1399648224
479	0.9613338687	0.1398482132
480	0.9613338687	0.1398144532
481	0.9612234309	0.139723938
482	0.9615561825	0.1394391696
483	0.9617781053	0.1394026534
484	0.9617781053	0.1392770459
485	0.9617781053	0.1390240724
486	0.9617788044	0.1389241758
487	0.9618896584	0.1388301363
488	0.9620005364	0.1387188543
489	0.9621115705	0.1384497183
490	0.9622226964	0.1383769599
491	0.9621115705	0.1382410584
492	0.9618894472	0.1379537539
493	0.9620009788	0.137864433
494	0.9618894472	0.1377509672
495	0.9618894472	0.1376851756
496	0.9618894472	0.1374669842
497	0.962000336	0.1373664714
498	0.962000336	0.1373153604
499	0.9622220088	0.1371516502
500	0.9623335653	0.1369854462
501	0.9624449376	0.1368655112
502	0.962222949	0.1365354572
503	0.9623343213	0.1364517165
504	0.9623343213	0.1364125977
505	0.9623343213	0.1363064024
506	0.9623343213	0.1359882512
507	0.9623343213	0.1359102038
508	0.9624449376	0.1357831164
509	0.9624449376	0.1357480665
510	0.9623345231	0.1356634296
511	0.9623345231	0.1356224681
512	0.9623345231	0.1355058534
513	0.9624449376	0.1354784283
514	0.9622246314	0.1352134078
515	0.9623350105	0.1351531542
516	0.9623355257	0.1350319653
517	0.9623352679	0.1347373568
518	0.9624456485	0.1344473375
519	0.9625566694	0.1343787598
520	0.9627790801	0.1341422754
521	0.9627790801	0.1341020349
522	0.9626680577	0.1340015241
523	0.9627794277	0.1338944922
524	0.9627796499	0.1336980426
525	0.9627796499	0.1335442414
526	0.9628904776	0.1334566946
527	0.9630015229	0.1333476685
528	0.9628901513	0.1332714752
529	0.9630015229	0.133025378
530	0.9630015229	0.1328190737
531	0.9630015229	0.1327107888
532	0.9628904776	0.1325991678
533	0.9631125534	0.1324869299
534	0.9631125534	0.1323848118
535	0.9631125534	0.1323206974
536	0.9632233966	0.1322627374
537	0.9628901513	0.1321126568
538	0.9630021317	0.1320507449
539	0.9631132831	0.132031817
540	0.963335453	0.1319694339
541	0.963335453	0.1318972379
542	0.9633352535	0.1317391684
543	0.9633352535	0.1316740245
544	0.9636680553	0.1314073582
545	0.9637794221	0.1312894865
546	0.9636685315	0.1311669101
